split,held_out,subset,model,n_test,rmse,mae,r2,pearson,spearman
lodo_003,SUNITINIB,central_abs_le_100,xgboost_identity,6068,5.029248656346981,3.5711830484371703,0.04120207760391337,0.21915817394985587,0.21006015430188787
lodo_003,SUNITINIB,exactly_one_unseen,xgboost_identity,6068,5.029248656346981,3.5711830484371703,0.04120207760391337,0.21915817394985587,0.21006015430188787
lodo_003,SUNITINIB,all,xgboost_identity_clip_train,6068,5.029697582389302,3.5717555082628065,0.04103089952272587,0.21856575303530185,0.209869945865922
lodo_003,SUNITINIB,central_abs_le_100,xgboost_identity_clip_train,6068,5.029697582389302,3.5717555082628065,0.04103089952272587,0.21856575303530185,0.209869945865922
lodo_003,SUNITINIB,exactly_one_unseen,xgboost_identity_clip_train,6068,5.029697582389302,3.5717555082628065,0.04103089952272587,0.21856575303530185,0.209869945865922
lodo_003,SUNITINIB,all,ridge_chemical_cell,6068,5.710378934667467,4.322610273266055,-0.236091796621948,0.22844159789830615,0.20547979021367596
lodo_003,SUNITINIB,central_abs_le_100,ridge_chemical_cell,6068,5.710378934667467,4.322610273266055,-0.236091796621948,0.22844159789830615,0.20547979021367596
lodo_003,SUNITINIB,exactly_one_unseen,ridge_chemical_cell,6068,5.710378934667467,4.322610273266055,-0.236091796621948,0.22844159789830615,0.20547979021367596
lodo_003,SUNITINIB,all,ridge_chemical_cell_clip_train,6068,5.709280073176484,4.321524209943671,-0.2356161143597506,0.22824186784425804,0.20542195154600432
lodo_003,SUNITINIB,central_abs_le_100,ridge_chemical_cell_clip_train,6068,5.709280073176484,4.321524209943671,-0.2356161143597506,0.22824186784425804,0.20542195154600432
lodo_003,SUNITINIB,exactly_one_unseen,ridge_chemical_cell_clip_train,6068,5.709280073176484,4.321524209943671,-0.2356161143597506,0.22824186784425804,0.20542195154600432
lodo_003,SUNITINIB,all,xgboost_chemical_cell,6068,4.993586234420116,3.5760536767629945,0.05475154665268567,0.2520591394080297,0.2501513411316092
lodo_003,SUNITINIB,central_abs_le_100,xgboost_chemical_cell,6068,4.993586234420116,3.5760536767629945,0.05475154665268567,0.2520591394080297,0.2501513411316092
lodo_003,SUNITINIB,exactly_one_unseen,xgboost_chemical_cell,6068,4.993586234420116,3.5760536767629945,0.05475154665268567,0.2520591394080297,0.2501513411316092
lodo_003,SUNITINIB,all,xgboost_chemical_cell_clip_train,6068,4.979338375741391,3.5673906971853886,0.06013787720514918,0.2525796558073514,0.24481136326316671
lodo_003,SUNITINIB,central_abs_le_100,xgboost_chemical_cell_clip_train,6068,4.979338375741391,3.5673906971853886,0.06013787720514918,0.2525796558073514,0.24481136326316671
lodo_003,SUNITINIB,exactly_one_unseen,xgboost_chemical_cell_clip_train,6068,4.979338375741391,3.5673906971853886,0.06013787720514918,0.2525796558073514,0.24481136326316671
lodo_003,SUNITINIB,all,xgboost_chemical_only_clip_train,6068,5.098871392923906,3.6316123117723316,0.014471964452507868,0.18786755022443163,0.22767939322989872
lodo_003,SUNITINIB,central_abs_le_100,xgboost_chemical_only_clip_train,6068,5.098871392923906,3.6316123117723316,0.014471964452507868,0.18786755022443163,0.22767939322989872
lodo_003,SUNITINIB,exactly_one_unseen,xgboost_chemical_only_clip_train,6068,5.098871392923906,3.6316123117723316,0.014471964452507868,0.18786755022443163,0.22767939322989872
lodo_003,SUNITINIB,all,xgboost_cell_only_clip_train,6068,5.050426037248289,3.585248074602505,0.0331103802422007,0.21491434840195583,0.12292589311124556
lodo_003,SUNITINIB,central_abs_le_100,xgboost_cell_only_clip_train,6068,5.050426037248289,3.585248074602505,0.0331103802422007,0.21491434840195583,0.12292589311124556
lodo_003,SUNITINIB,exactly_one_unseen,xgboost_cell_only_clip_train,6068,5.050426037248289,3.585248074602505,0.0331103802422007,0.21491434840195583,0.12292589311124556
lodo_004,ZOLINZA,all,mean,6014,4.913700366242522,3.6328836940701006,-0.006773754856337133,,
lodo_004,ZOLINZA,central_abs_le_100,mean,6014,4.913700366242522,3.6328836940701006,-0.006773754856337133,,
lodo_004,ZOLINZA,exactly_one_unseen,mean,6014,4.913700366242522,3.6328836940701006,-0.006773754856337133,,
lodo_004,ZOLINZA,all,median,6014,4.9137792860450515,3.6329514466245425,-0.006806095055400085,,
lodo_004,ZOLINZA,central_abs_le_100,median,6014,4.9137792860450515,3.6329514466245425,-0.006806095055400085,,
lodo_004,ZOLINZA,exactly_one_unseen,median,6014,4.9137792860450515,3.6329514466245425,-0.006806095055400085,,
lodo_004,ZOLINZA,all,ridge_identity,6014,5.015255988673554,3.7603701153243434,-0.04881950638827193,0.11606508187077808,0.07936909336893573
lodo_004,ZOLINZA,central_abs_le_100,ridge_identity,6014,5.015255988673554,3.7603701153243434,-0.04881950638827193,0.11606508187077808,0.07936909336893573
lodo_004,ZOLINZA,exactly_one_unseen,ridge_identity,6014,5.015255988673554,3.7603701153243434,-0.04881950638827193,0.11606508187077808,0.07936909336893573
lodo_004,ZOLINZA,all,ridge_identity_clip_train,6014,5.015187955025067,3.7603166928156417,-0.048791051396619434,0.1160455604032216,0.07935658744353785
lodo_004,ZOLINZA,central_abs_le_100,ridge_identity_clip_train,6014,5.015187955025067,3.7603166928156417,-0.048791051396619434,0.1160455604032216,0.07935658744353785
lodo_004,ZOLINZA,exactly_one_unseen,ridge_identity_clip_train,6014,5.015187955025067,3.7603166928156417,-0.048791051396619434,0.1160455604032216,0.07935658744353785
lodo_004,ZOLINZA,all,xgboost_identity,6014,4.920011618584664,3.663679361637056,-0.009361655357839949,0.07829714596944812,0.024511645165496733
lodo_004,ZOLINZA,central_abs_le_100,xgboost_identity,6014,4.920011618584664,3.663679361637056,-0.009361655357839949,0.07829714596944812,0.024511645165496733
