drug,pair_cell_count
BENDAMUSTINE,10
BI-78D3,10
BMS-5,10
BMS-509744,10
CAROVERINE,10
CPEPCK INHIBITOR,10
DASA-58,10
DEGUELIN,10
DYDROGESTERONE,10
EBPC,10
ENZASTAURIN,10
EZATIOSTAT,10
FENOBAM,10
IC-87114,10
IPATASERTIB,10
IRAK-1-4 INHIBITOR I,10
ITX3,10
IVACHTIN,10
LIRIMILAST,10
MECLINERTANT,10
MENADIONE,10
MK-0354,10
ML324,10
MOTESANIB,10
NCGC00090797-11,10
NVP-BSK805,10
OSANETANT,10
PB-28,10
PERIFOSINE,10
PF-05212384,10
PHA-408,10
PHA-690509,10
PIK-90,10
PRAVADOLINE,10
PS-1145,10
PURVALANOL B,10
REFAMETINIB,10
SILDENAFIL CITRATE,10
SIROLIMUS,10
SANT-2,10
SD-208,10
SM-164,10
SNS-314,10
TALMAPIMOD,10
VELIFLAPON,10
VOLASERTIB (BI 6727),10
WAY-204688,10
XMD8-92,10
Y-27632,10
TOZASERTIB,10
AMINOGLUTETHIMIDE,9
ARTEMISININ,9
AZ-3146,9
AZD1480,9
CHOLIC ACID,9
CIPROFLOXACIN,9
CURCUMIN,9
FORMESTANE,9
OLPRINONE,9
PPADS,9
TRO 19622,9
VOLASERTIB,9
CLOMIPHENE CITRATE,8
COPANLISIB,8
CP-724714,8
DACOMITINIB,8
DALCETRAPIB,8
DAPAGLIFLOZIN,8
DEFACTINIB,8
GIVINOSTAT HYDROCHLORIDE,8
HYDROXYCHLOROQUINE SULFATE,8
IXAZOMIB CITRATE,8
MPEP,8
RALTITREXED,8
SOTRASTAURIN,8
TORIN 2,8
(-)-BLEBBISTATIN,7
5-AZACITIDINE,7
853910-02-8,7
912545-86-9,7
A-803467,7
ABT-737,7
ACIPIMOX,7
ADAPALENE,7
ADEFOVIR DIPIVOXIL,7
ADX-47273,7
AG-1024,7
AGI-5198,7
AGOMELATINE,7
ALBENDAZOLE OXIDE,7
ALECTINIB (CH5424802),7
ALOE-EMODIN,7
AMBRISENTAN,7
AMG-458,7
AMISULPRIDE,7
AMONAFIDE,7
AMUVATINIB (MP-470),7
ANIRACETAM,7
APATINIB,7
APIGENIN,7
APIXABAN,7
APRATASTAT,7
AS-604850,7
ASPARTAME,7
ASPIRIN,7
AST-1306,7
AURORA A INHIBITOR I,7
AVASIMIBE,7
AVOBENZONE,7
AZ 628,7
AZATHIOPRINE,7
AZD-7762,7
AZD6482,7
BAICALEIN,7
BALOFLOXACIN,7
BARASERTIB,7
BETA-LAPACHONE,7
BEXAROTENE,7
BI 2536,7
BI-D1870,7
BIBR-1532,7
BINDARIT,7
BIOCHANIN A,7
BIRB 796 (DORAMAPIMOD),7
BMS-265246,7
BOSUTINIB (SKI-606),7
BRIVANIB (BMS-540215),7
BTM-2C-DIMER KETONE,7
BUFEXAMAC,7
BX-912,7
CARMOFUR,7
CEDIRANIB (AZD2171),7
CEP-33779,7
CHELERYTHRINE CHLORIDE,7
CHEMBL2136663,7
CHIR-124,7
CHLORMEZANONE,7
CHLOROTHIAZIDE,7
CILOMILAST,7
CILOSTAZOL,7
CIPROFIBRATE,7
CISPLATIN,7
CITCO,7
CLINOFIBRATE,7
CLOBETASOL PROPIONATE,7
CLORSULON,7
CLOTRIMAZOLE,7
CLOZAPINE,7
COSTUNOLIDE,7
CP-673451,7
CP-91149,7
CPI-613,7
CRYPTOTANSHINONE,7
CX-4945 (SILMITASERTIB),7
CYC116,7
CYCLOPAMINE,7
CYT387,7
DAIDZEIN,7
DCC-2036 (REBASTINIB),7
DECITABINE,7
DEFERASIROX,7
DESONIDE,7
DICLAZURIL,7
DOMPERIDONE,7
DROXINOSTAT,7
DYPHYLLINE,7
EDARAVONE,7
ELIPRODIL,7
ELVITEGRAVIR,7
EMBELIN,7
EMODIN,7
ENZALUTAMIDE (MDV3100),7
ERDOSTEINE,7
ERISMODEGIB,7
ETHIONAMIDE,7
EX 527 (SELISISTAT),7
FAMCICLOVIR,7
FENBENDAZOLE,7
FENOFIBRATE,7
FISETIN,7
FLUBENDAZOLE,7
FLUCONAZOLE,7
FLUCYTOSINE,7
FLUOCINOLONE ACETONIDE,7
FLURBIPROFEN,7
FLUTICASONE PROPIONATE,7
FLUVASTATIN,7
FORETINIB (GSK1363089),7
GATIFLOXACIN,7
GDC-0879,7
GEMFIBROZIL,7
GENISTEIN,7
GIMERACIL,7
GINKGOLIDE B,7
GLICLAZIDE,7
GLIMEPIRIDE,7
GLIPIZIDE,7
GLYCYRRHIZIC ACID,7
GNF-2,7
GOSSYPOL,7
GSK1904529A,7
GSK3787,7
GW0742,7
GW9508,7
GYKI-53655,7
HEMATOXYLIN,7
HESPERADIN,7
HEXESTROL,7
HYDROCHLOROTHIAZIDE,7
IBUTILIDE FUMARATE,7
ID-8,7
IDEBENONE,7
IKK-16 (IKK INHIBITOR VII),7
INDAPAMIDE,7
INDIRUBIN,7
INDOMETHACIN,7
INIPARIB (BSI-201),7
INO-1001,7
IOX2,7
IPA-3,7
ISTRADEFYLLINE,7
